0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,0,0,1,0,0,1,5,0,0,1,1,0,0,1,1,1,1,2,0,0,3,1,1,0,0,4,0,3,1,1,0,0
1,2,2,0,3,2,5,6,4,2,4,3,3,1,7,1,4,1,1,6,1,6,11,11,13,14,14,13,10,11,13,7,14,7,9,1,0,2,2,3
2,8,6,4,7,9,3,11,21,27,15,8,12,6,12,6,8,4,3,15,22,16,25,30,15,4,5,4,7,5,3,12,21,28,17,11,4,1,5,4
7,15,11,11,13,18,15,4,9,56,39,49,25,13,9,7,3,10,6,15,16,7,3,5,2,12,3,1,2,4,4,11,29,22,19,11,14,8,8,14
14,8,8,5,4,9,14,8,10,51,36,13,9,12,11,2,3,4,8,2,2,1,3,2,1,2,6,7,7,0,0,4,32,28,11,21,11,15,12,13
0,1,3,2,4,5,16,17,17,12,3,2,8,1,1,3,1,8,0,1,0,0,0,0,0,0,0,4,5,6,8,1,2,3,8,9,1,3,7,1
3,3,2,7,6,4,6,15,9,7,14,5,4,4,2,5,13,27,15,7,4,1,1,1,0,0,10,9,6,19,6,10,16,19,15,7,9,6,0,4
3,6,1,2,5,1,3,4,0,1,3,11,2,0,1,6,6,7,3,12,10,16,19,2,0,9,6,12,9,22,8,7,10,14,22,15,12,5,6,3
10,2,2,3,1,0,2,0,0,1,0,1,5,9,5,11,6,0,0,1,2,5,16,4,7,9,9,11,13,11,6,9,11,2,5,8,9,10,5,4
6,2,5,2,1,4,0,3,0,0,0,4,11,16,8,7,2,2,2,0,1,3,11,3,13,0,1,3,6,2,2,4,1,6,7,11,3,4,2,3
11,6,2,13,5,5,2,0,0,0,5,3,0,44,27,8,4,3,4,1,3,3,3,9,5,4,2,1,0,0,1,4,2,3,1,1,9,2,3,5
5,6,7,8,15,18,15,6,3,3,7,21,7,76,33,19,11,13,4,3,7,6,5,15,7,7,3,1,0,1,2,3,7,13,7,3,20,4,4,6
4,1,2,3,10,7,9,3,6,5,2,13,32,44,23,14,18,9,13,4,5,10,4,7,5,5,6,1,4,4,1,2,3,9,5,8,14,5,9,20
6,3,5,6,2,6,4,4,3,5,3,2,24,20,12,6,9,5,4,3,5,6,3,6,3,4,2,2,6,4,4,7,6,6,9,8,3,10,13,4
3,4,3,5,4,4,4,4,5,5,3,2,3,5,6,2,1,0,3,2,1,0,1,0,3,4,1,0,1,1,2,6,4,3,6,4,8,4,3,4
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
